Time,Agebin,Clone ID,Frequency
5,50,40666,1
5,50,219628,1
5,50,328853,1
5,50,136268,1
5,50,576138,1
5,50,817684,1
5,50,796339,1
5,50,815098,1
5,50,532037,1
5,50,755884,1
5,50,629924,1
5,50,959032,1
5,50,292144,1
5,50,565078,1
5,50,973637,1
5,50,763833,1
5,50,833010,1
5,50,596578,1
5,50,646489,1
5,50,276456,1
5,50,838014,1
5,50,105478,1
5,50,413834,1
5,50,19802,1
5,50,973064,1
5,50,198839,1
5,50,319489,1
5,50,950629,1
5,50,387401,1
5,50,867337,1
5,50,834441,1
5,50,119384,1
5,50,950265,1
5,50,54133,1
5,50,589042,1
5,50,118429,1
5,50,187888,1
5,50,243143,1
5,50,627572,1
5,50,353308,1
5,50,41257,1
5,50,890151,1
5,50,43560,1
5,50,586739,1
5,50,446879,1
5,50,12035,1
5,50,50621,1
5,50,57407,1
5,50,667762,1
5,50,223567,1
5,50,969895,1
5,50,371,1
5,50,686304,1
5,50,955413,1
5,50,506691,1
5,50,571613,1
5,50,104901,1
5,50,731210,1
5,50,781375,1
5,50,15771,1
5,50,531137,1
5,50,716232,1
5,50,42479,1
5,50,136798,1
5,50,975903,1
5,50,322511,1
5,50,606229,1
5,50,278280,1
5,50,260804,1
5,50,128963,1
5,50,212402,1
5,50,181470,1
5,50,863034,1
5,50,297377,1
5,50,880307,1
5,50,385388,1
5,50,905318,1
5,50,15306,1
5,50,270140,1
5,50,283179,1
5,50,586240,1
5,50,667195,1
5,50,125953,1
5,50,432976,1
5,50,583321,1
5,50,208150,1
5,50,507616,1
5,50,794509,1
5,50,765651,1
5,50,669766,1
5,50,236185,1
5,50,150364,1
5,50,93310,1
5,50,535446,1
5,50,565970,1
5,50,290209,1
5,50,524135,1
5,50,588862,1
5,50,516391,1
5,50,294857,1
5,50,290791,1
5,50,70542,1
5,50,339401,1
5,50,970493,1
5,50,777229,1
5,50,400981,1
5,50,949555,1
5,50,24098,1
5,50,748324,1
5,50,481704,1
5,50,932604,1
5,50,834173,1
5,50,64991,1
5,50,979595,1
5,50,360911,1
5,50,138092,1
5,50,159937,1
5,50,908427,1
5,50,744975,1
5,50,488232,1
5,50,914148,1
5,50,945477,1
5,50,317883,1
5,50,464923,1
5,50,547404,1
5,50,540465,1
5,50,906352,1
5,50,997228,1
5,50,127076,1
5,50,856312,1
5,50,592630,1
5,50,818651,1
5,50,84145,1
5,50,507167,1
5,50,704329,1
5,50,813849,1
5,50,125603,1
5,50,840338,1
5,50,356407,1
5,50,852277,1
5,50,92161,1
5,50,600508,1
5,50,373623,1
5,50,289841,1
5,50,244292,1
5,50,109881,1
5,50,263683,1
5,50,981484,1
5,50,79098,1
5,50,969346,1
5,49,16862,1
5,49,501547,1
5,49,9584,1
5,49,209686,1
5,49,267318,1
5,49,439832,1
5,49,97328,1
5,49,663743,1
5,49,947789,1
5,49,279016,1
5,49,518797,1
5,49,644375,1
5,49,386042,1
5,49,336237,1
5,49,400517,1
5,49,406156,1
5,49,347332,1
5,49,712752,1
5,49,222878,1
5,49,833863,1
5,49,410008,1
5,49,964776,1
5,49,547472,1
5,49,513219,1
5,49,414284,1
5,49,507718,1
5,49,4925,1
5,49,321917,1
5,49,784352,1
5,49,966451,1
5,49,294409,1
5,49,686341,1
5,49,710472,1
5,49,21370,1
5,49,722537,1
5,49,867960,1
5,49,716241,1
5,49,56229,1
5,49,980401,1
5,49,953558,1
5,49,63824,1
5,49,787414,1
5,49,613471,1
5,49,514581,1
5,49,197716,1
5,49,115961,1
5,49,858177,1
5,49,621449,1
5,49,608843,1
5,49,715708,1
5,49,720402,1
5,49,457504,1
5,49,566986,1
5,49,608122,1
5,49,893491,1
5,49,817906,1
5,49,477720,1
5,49,531949,1
5,49,320875,1
5,49,920014,1
5,49,815672,1
5,49,547380,1
5,49,172417,1
5,49,714624,1
5,49,590925,1
5,49,537947,1
5,49,197165,1
5,49,158101,1
5,49,355094,1
5,49,213744,1
5,49,550270,1
5,49,546320,1
5,49,246526,1
5,49,81762,1
5,49,987763,1
5,49,491753,1
5,49,750112,1
5,49,964193,1
5,49,619261,1
