Time,Agebin,Clone ID,Frequency
5,50,985508,1
5,50,658470,1
5,50,242189,1
5,50,613087,1
5,50,505807,1
5,50,125493,1
5,50,342004,1
5,50,361179,1
5,50,661359,1
5,50,820134,1
5,50,896239,1
5,50,418722,1
5,50,752680,1
5,50,868224,1
5,50,556350,1
5,50,787878,1
5,50,233282,1
5,50,856809,1
5,50,707775,1
5,50,447762,1
5,50,200076,1
5,50,308400,1
5,50,40776,1
5,50,892623,1
5,50,225333,1
5,50,265510,1
5,50,507764,1
5,50,538373,1
5,50,527739,1
5,50,492988,1
5,50,355736,1
5,50,373902,1
5,50,785545,1
5,50,244432,1
5,50,659687,1
5,50,984541,1
5,50,564911,1
5,50,794071,1
5,50,619313,1
5,50,865533,1
5,50,477646,1
5,50,169017,1
5,50,304953,1
5,50,719605,1
5,50,224020,1
5,50,675016,1
5,50,5288,1
5,50,706335,1
5,50,191265,1
5,50,820632,1
5,49,422584,1
5,49,42470,1
5,49,128353,1
5,49,301405,1
5,49,696764,1
5,49,288574,1
5,49,806538,1
5,49,316158,1
5,49,531980,1
5,49,22350,1
5,49,156520,1
5,49,267679,1
5,49,959124,1
5,49,22581,1
5,49,182543,1
5,49,334250,1
5,49,314511,1
5,49,520393,1
5,49,915017,1
5,49,379297,1
5,49,878851,1
5,49,556912,1
5,49,881076,1
5,49,427801,1
5,49,703567,1
5,49,453639,1
5,49,797579,1
5,49,49833,1
5,49,157934,1
5,49,2882,1
5,49,469915,1
5,49,858371,1
5,49,358106,1
5,49,7990,1
5,49,418253,1
5,49,960514,1
5,49,598261,1
5,49,128234,1
5,49,576929,1
5,49,579862,1
5,49,177276,1
5,49,525081,1
5,49,388239,1
5,49,82914,1
5,49,553321,1
5,49,143979,1
5,49,298661,1
5,49,260929,1
5,49,455275,1
5,49,404794,1
5,48,560641,1
5,48,960725,1
5,48,252158,1
5,48,494756,1
5,48,741870,1
5,48,885299,1
5,48,285918,1
5,48,700563,1
5,48,436957,1
5,48,398787,1
5,48,88801,1
5,48,43847,1
5,48,60544,1
5,48,822301,1
5,48,113846,1
5,48,50450,1
5,48,684460,1
5,48,444338,1
5,48,719927,1
5,48,487960,1
5,48,465563,1
5,48,274226,1
5,48,892723,1
5,48,190465,1
5,48,440978,1
5,48,335663,1
5,48,835140,1
5,48,729884,1
5,48,665185,1
5,48,334846,1
5,48,973136,1
5,48,265517,1
5,48,34709,1
5,48,18469,1
5,48,93751,1
5,48,873242,1
5,48,70875,1
5,48,281092,1
5,48,174271,1
5,48,713406,1
5,48,866452,1
5,48,769391,1
5,48,89428,1
5,48,485500,1
5,48,345116,1
5,48,450785,1
5,48,473822,1
